product_id,role,id,scores,evidence_audit,reason,objection,gate,total
P3,供应链,P3,"{""结构成熟"": 77, ""质量可控"": 59, ""履约售后"": 58, ""规格复杂度"": 61}",,弹簧内芯工艺相对成熟，但可拆外套新增洗缩、拉链耐久、面套与内芯公差及翻面后适配等控制环节。外套可替换可能减少部分整垫售后搬运，但该收益依赖洗后复装和备件供应，目前尚未验证。22/24cm面套及替换套装需按尺寸、版本建立兼容关系，长期补套库存增加管理负担。,可拆不自动等于可按预期方式水洗；1.8m面套的湿重、洗衣机容量适配、干燥条件和洗后变形没有数据。内芯拆套后的层间固定及外露保护也未说明；1080元制造成本和210元运费不能证明备用面套、拉链返修与换件服务已经计价。,锁定面套面料、缝制、拉链及内芯保护和固定方案；按拟承诺的洗法进行重复洗涤、干燥、洗缩、拉链寿命与用户复装验证，并分别检验翻面后的贴合度。实测支持的洗衣设备容量及操作条件，形成仅覆盖外套的洗标；跑通面套尺寸版本识别、独立包装、备件库存和换件成本后，才允许使用相应可洗及售后承诺。,64.45
P3,视觉,P3,"{""首屏识别"": 93, ""证据可视"": 96, ""差异表达"": 94, ""标价可信"": 94}",,拉链打开约1/3、拆卸路径和真实洗标能把“外套可拆洗”转化为可见、可核验的动作证据，首屏理解成本低；“内芯不可水洗”同时写清边界，可显著提升信任。与常见材质堆叠主图相比，清洁维护价值更具差异。,如果画面出现整垫入水、洗衣机装入整张1.8m外套，或弱化“仅外套可洗”，会产生明显误导；拉链、裸芯、洗标和价格同时展示，也存在信息拥挤风险。,条件通过：使用真实样品拍摄拉链、拆装步骤和洗标；洗后缩率、复装难度及家用洗衣机适配实测通过后，才可标注具体洗法。主图必须保留“外套可拆洗/内芯不可水洗”边界。,94.3
P4,数据,P4,"{""证据匹配"": 40, ""样本广度"": 55, ""价格可比"": 88, ""结论稳健"": 50}",,‘透气/空气纤维/3D+双面/弹簧’宽口径命中29款商品、13家店，价格中位约2549元；12款落在2599元±10%，17款有与24cm相近的厚度证据。但去掉泛化的‘透气’，只保留‘空气纤维/3D空气’后，当前价带内同时命中双面/弹簧的商品为0款。因此实际被验证的是‘透气卖点’，不是2cm空气纤维这一特定BOM。,标题词‘透气’容易向同链接全部SKU泄漏，且结构透气不等于整夜降温或降低闷热投诉；宽口径样本的51.7%来自最大店铺，证据独立性一般。,先确认空气纤维材料规格和稳定供应，再在同床笠、同温湿度、同载荷下做透气/闷感对照，并验证摩擦声、压缩耐久和批次密度；不得使用未实测温降。,54.85
P4,操盘,P4,"{""定位清晰"": 82, ""转化证据"": 70, ""经济容错"": 67, ""测试可执行"": 68}",,以湿热和闷感为场景，空气纤维层具备可视化表达，但方案谨慎地没有承诺整夜凉爽或虚构降温数字。2599元略高于T1商品价格Q75 2549.15元，需要额外说服力；统一模型下贡献为2599×0.66-1180-210=325.34元，贡献率约12.52%，绝对金额尚可但材料成本高。2299/2599/2899的阶梯能测试空气纤维厚度与可拆外套升级，不过各层级必须避免把结构透气直接等同体感降温。,阶段一T1证据主要支持双感承托，不直接证明消费者愿意为2厘米空气纤维支付高于赛道Q75的价格；闷热体感受床笠、空调、地区和个人差异影响，评价噪声大。若2599元的转化弱于2399元附近竞品，325元理论贡献无法弥补流量效率下降。,先用同规格、同场景的结构解释素材与普通双感素材做A/B，不得使用未经实测的温降值。主销2599元只有在其支付转化率相对2299元测试款下降不超过由客单提升带来的贡献增量、且单单贡献不低于300元时才保留；否则下调空气纤维厚度或售价。湿热地区与全国流量应分开看，未形成地区优势前不全国放量。,71.7
P4,供应链,P4,"{""结构成熟"": 72, ""质量可控"": 56, ""履约售后"": 61, ""规格复杂度"": 68}",,独袋与泡棉基础成熟，但空气纤维的原料、丝径、密度、回弹及层间固定均未给出，2cm舒适层的批次一致性和受压摩擦声需要专门验证。核心材料带来的闷感改善未实测，会增加体验争议处理难度。22/24cm涉及不同空气纤维厚度，25cm升级又加入可拆外套，形成额外工艺与备件分支。,空气纤维存在不代表整垫必然更凉爽或更透气；泡棉、面套和床笠也会影响实际表现。空气纤维层间摩擦、永久变形、气味以及与弹簧结构共同受载时的声音均无检测结果；1180元制造成本及210元运费没有供应商和物流报价支撑。,先确定空气纤维材料规格、批次验收办法、隔离与固定结构；完成压缩疲劳、层间位移、异响及气味检查，并对实际整垫在相同床笠、温湿度条件下开展通风或闷感对照，宣传仅覆盖被测试支持的结论。小批量核验批次一致性和真实包装运费；25cm可拆外套版本须另过洗护与复装关，不沿用24cm验证结果。,63.85
P4,视觉,P4,"{""首屏识别"": 87, ""证据可视"": 78, ""差异表达"": 82, ""标价可信"": 94}",,浅蓝日光场景与局部剖切能快速建立透气联想，空气纤维层也比泛化的“清凉科技”更容易解释。规格和单床垫价格清楚，且方案主动禁止温降数字和虚构热感图，标价与表达较克制。,气流箭头只是结构示意，不能证明整夜凉爽或实际降温；“透气空间”容易被消费者直接理解为凉感结果。空气纤维在主图中的视觉形态若不够独特，也可能与普通3D材料剖面混淆。,条件通过：箭头必须标注为结构示意，量产样品需完成同床笠、同温湿度对照测试；未经数据支持不得出现降温数值、整夜凉爽、抗菌或不闷汗的绝对承诺。,84.7
P5,数据,P5,"{""证据匹配"": 12, ""样本广度"": 15, ""价格可比"": 40, ""结论稳健"": 20}",,现有宽口径‘左右/分体/夫妻/双人+软硬/分区/调节/独立’看似命中12款商品，但SKU文本同时命中只有1款，且它只是‘夫妻首选+两种软硬可调’，没有左右同时不同软硬。将规则收紧为明确的‘左右/两侧/一边一边+不同睡感’后命中0款。榜单数据因而不能支持该需求已被市场验证，2799元也只能视为试销定价假设。,这是最严重的标题词泄漏与语义混淆：‘双人’只是尺寸/使用人数，‘分区’常指纵向身体分区，‘分体’常指可拆层，‘双面’则是整张翻面；三者都不等于夫妻左右差异。,只能以小批原型试销；先通过定量访谈和定金预售验证左右差异的真实付费需求，再做中缝体感、连续滚压、方向防错装、单侧换件与退换运费测试；不能用双面或夫妻词频代替验证。,19.55
P5,操盘,P5,"{""定位清晰"": 96, ""转化证据"": 48, ""经济容错"": 43, ""测试可执行"": 46}",,这是五款中差异最清楚的概念：躺下视角左适中、右偏硬，可换左右舒适层；方案反复区分左右分区与整张翻面，定位没有歧义。问题在于阶段一T1的92款和333个SKU证明的是大众双感承托盘，不证明夫妻左右不同睡感已形成稳定需求，方案自身也承认不能按左右词频推断需求。2799元高于T1价格Q75 2549.15元；统一模型下贡献为2799×0.66-1400-230=217.34元，贡献率仅约7.76%，为五款最低，广告、售后或换件稍有超支即失去空间。,高差异不等于高成交。用户要先理解躺下视角左右方向、确认夫妻偏好、接受中缝与换层规则，决策链路最长；左右错选、换件运费和退货会同时推高客服与售后。现有成本下，2799元没有足够经济余量支持大规模冷流量教育，不能把它当首发主爆款。,只允许原型小批试销，首期固定一种“左适中/右偏硬”组合，不开放多方向多硬度排列。2799元售价下，制造包装与运费合计必须从当前1630元降至不高于1547元，才能在统一费率后保留至少300元单单贡献；若不能降本，则需重新验证更高裸垫售价，且不得用含备用层套装冒充裸垫经济性。达到付费预约、方向理解正确率、换层咨询可控和真实订单贡献门槛后，才进入第二批。,58.1
P5,供应链,P5,"{""结构成熟"": 63, ""质量可控"": 47, ""履约售后"": 48, ""规格复杂度"": 43}",,独袋底芯可沿用常规工艺，但左右舒适层的尺寸配合、中缝连接、边缘硬度过渡与防移位缺少成熟工艺定义。左右模块更换可能降低部分调感成本，同时新增方向误装、错发、兼容版本和单侧备件物流。统一睡感、左右组合与调感套装并行，虽限定一种左右组合，仍是五案中装配及售后管理最复杂的方案。,3cm分体舒适层上仅给出1cm整体面套，无法从名义厚度确认中缝不可感知或长期不产生高低差。躺下视角标签只能减少部分误解，不能替代结构防错；1400元制造成本及230元运费未证明已覆盖备用层、模块更换及错装售后成本。可拆面套也不能未经测试承诺可水洗。,维持一种左右组合的小批量原型范围，确定中缝连接、限位与非对称防错结构；两侧及中缝分别进行连续滚压、翻身跨缝、长期位移、高低差和异响验证。由非熟练使用者完成方向识别、拆装及复装检查，跑通模块编码、订单核对、换件兼容和单侧包装运输；取得含备件及售后的完整报价，质量与履约关未通过前不进入规模首发。,51.45
P5,视觉,P5,"{""首屏识别"": 91, ""证据可视"": 87, ""差异表达"": 98, ""标价可信"": 92}",,俯视左右双色、躺下视角方向标注和中央连接区放大，能把“同床同时左右不同睡感”与普通翻面双感清楚区分，是五款中最强的视觉差异点。主销规格与价格明确，可换舒适层也具备可视化空间。,左右方向、睡感、可换层、中央拼缝与价格需要同时解释，首屏很容易过载；若只用颜色分区而不展示真实分体层和连接方式，用户会把它误认为平面配色或普通分区床垫。,条件通过：必须使用真实原型展示左右独立舒适层、中央连接与防错装方向；主图固定采用“躺下视角左/右”并明确不是整张翻面。拼缝体感和换层流程验证前，不得承诺无缝、无限换睡感或任意组合。,91.4
